iter	RMSE
421	1287.95056
422	1286.032366
423	1284.523148
424	1283.447123
425	1283.012563
426	1281.257279
427	1279.187488
428	1276.628854
429	1275.133882
430	1273.082212
431	1271.06742
432	1268.28732
433	1267.248743
434	1266.42313
435	1264.085837
436	1261.345988
437	1259.453595
438	1257.333262
439	1254.774187
440	1253.756382
441	1253.01042
442	1252.302218
443	1250.914573
444	1249.627873
445	1248.943032
446	1247.663467
447	1245.624683
448	1243.064874
449	1242.400786
450	1240.46736
451	1237.031598
452	1234.970648
453	1233.390582
454	1231.847424
455	1231.224965
456	1229.734457
457	1227.274201
458	1225.510316
459	1223.56497
460	1222.956111
461	1220.376973
462	1218.587265
463	1216.828625
464	1215.805599
465	1214.290899
466	1212.504332
467	1211.581485
468	1208.854009
469	1207.668309
470	1206.270688
471	1204.04373
472	1202.280752
473	1200.555822
474	1199.12156
475	1197.164339
476	1196.230129
477	1193.437362
478	1191.707126
479	1190.820221
480	1189.508336
481	1186.42491
482	1184.739601
483	1184.146931
484	1182.96811
485	1181.411951
486	1179.01725
487	1177.472953
488	1176.380311
489	1175.06673
490	1173.251527
491	1172.25533
492	1169.538204
493	1168.010735
494	1166.589969
495	1165.12491
496	1163.913874
497	1162.295486
498	1159.721838
499	1158.631606
500	1157.189733
501	1154.758305
502	1153.644232
503	1152.373486
504	1150.003652
505	1149.183156
506	1147.523357
507	1145.898679
508	1144.581371
509	1143.48496
510	1142.350046
511	1141.584377
512	1140.481512
513	1139.282793
514	1136.546304
515	1135.63893
516	1133.634641
517	1131.796519
518	1129.581235
519	1127.954143
520	1126.513083
521	1126.023135
522	1125.551114
523	1123.893845
524	1123.16319
525	1122.04189
526	1119.857324
527	1117.756866
528	1117.103036
529	1115.58061
530	1114.268761
531	1113.417907
532	1111.795225
533	1110.010012
534	1108.278232
535	1106.031294
536	1105.129748
537	1104.233303
538	1103.379304
539	1101.929397
540	1100.297163
541	1098.669813
542	1097.916188
543	1096.793898
544	1096.371672
545	1094.834337
546	1094.4987
547	1093.047277
548	1092.719072
549	1091.501141
550	1091.191439
551	1090.389876
552	1090.090729
553	1089.405101
554	1088.154484
555	1087.100375
556	1086.454665
557	1085.741303
558	1084.688778
559	1083.727679
560	1082.898176
561	1082.293063
562	1081.271287
563	1080.404123
564	1079.552105
565	1078.655576
566	1077.828704
567	1076.942714
568	1075.229081
569	1074.081217
570	1073.073894
571	1072.026172
572	1069.807721
573	1068.002318
574	1065.453243
575	1064.000563
576	1062.338505
577	1060.445743
578	1060.408278
579	1059.108119
580	1058.013848
581	1057.309407
582	1056.249688
583	1055.721576
584	1054.525286
585	1053.36515
586	1051.318487
587	1049.074433
588	1048.452318
589	1047.561793
590	1047.062234
591	1045.927992
592	1044.830013
593	1044.350551
594	1043.309331
595	1042.606306
596	1040.985739
597	1040.551705
598	1038.361031
599	1038.331358
600	1037.698333
601	1037.100404
602	1036.435868
603	1035.734448
604	1034.497893
605	1033.68447
606	1032.162443
607	1030.884812
608	1030.058487
609	1028.607409
610	1028.113741
611	1027.228563
612	1026.113097
613	1024.957322
614	1023.76945
615	1022.669102
616	1020.63213
617	1019.863326
618	1018.783365
619	1017.643262
620	1016.996505
621	1015.608486
622	1014.37889
623	1012.733541
624	1010.890198
625	1009.909091
626	1008.698761
627	1007.243013
628	1006.708976
629	1004.274263
630	1002.259825
631	1002.223432
632	1000.691196
633	999.965254
634	999.510672
635	997.6641678
636	996.7311506
637	995.7235647
638	994.6717054
639	994.0161215
640	993.7789879
641	992.2281784
642	992.1874289
643	990.8477786
644	989.8216064
645	988.0890676
646	986.8337543
647	985.7089214
648	984.833658
649	984.7948287
650	984.366563
651	983.7851428
652	983.378873
653	982.1253135
654	981.7352097
655	980.6709515
656	980.6335704
657	980.264233
658	979.3056895
659	978.1981895
660	977.1773281
661	975.9831249
662	975.3532665
663	974.7652465
664	974.0013304
665	973.4287056
666	971.665474
667	970.6318883
668	970.0927219
669	968.8847821
670	968.5097847
671	967.8341952
672	966.8857689
673	965.3150358
674	963.3161106
675	962.180908
676	961.2706428
677	960.7789381
678	960.0168136
679	958.8260412
680	957.2279165
681	956.6366326
682	955.4935515
683	954.1431815
684	953.7988667
685	952.9940575
686	951.812401
687	950.929394
688	949.4362197
689	948.590514
690	948.0646109
691	946.7027538
692	946.1476974
693	945.0464168
694	944.0405684
695	943.2633834
696	942.8919562
697	941.9977555
698	941.3749341
699	940.3285574
700	939.0237289
701	938.0094159
702	937.3947867
703	935.6168039
704	935.1234589
705	934.3135222
706	933.8483792
707	932.6986727
708	932.1185672
709	931.299572
710	929.6577295
711	929.3086173
712	929.2835094
713	928.0083809
714	927.4761627
715	926.20353
716	925.2156998
717	924.2594504
718	923.9250626
719	923.680623
720	923.1790875
721	922.2893418
722	922.2565738
723	922.0264882
724	921.9950318
725	921.3622145
726	920.2333362
727	919.1622983
728	919.1366742
729	918.4989824
730	917.2015316
731	916.3133341
732	914.8346626
733	913.8981859
734	912.9671213
735	912.2099295
736	911.758493
737	911.5487084
738	911.5291248
739	910.2906342
740	909.0346394
741	908.2097534
742	906.6871837
743	906.2102056
744	905.8019217
745	904.5854195
746	903.9143817
747	903.2357323
748	902.4713878
749	901.7149478
750	900.649995
751	899.7534616
752	898.9757837
753	897.9500408
754	897.3791928
755	896.690299
756	895.98291
757	895.1650639
758	894.3334328
759	893.7469097
760	892.8431578
761	892.3758714
762	891.5397013
763	890.2921739
764	889.4180634
765	888.5847492
766	888.0160531
767	887.2598682
768	886.1850545
769	885.4137748
770	884.7527281
771	884.0529174
772	883.8537535
773	883.1340092
774	882.0919786
775	881.0816408
776	879.9599827
777	879.5895846
778	878.6529525
779	878.2585054
780	877.670886
781	876.7085523
782	876.0584015
783	875.4946113
784	874.7785116
785	874.6247695
786	873.4995751
787	872.9667013
788	872.2446928
789	871.5691444
790	871.2127067
791	870.3077829
792	869.308376
793	868.5152174
794	867.060983
795	866.7562735
796	865.9682904
797	865.4667955
798	864.6257299
799	863.5939614
800	862.7013608
801	861.6792953
802	860.9038931
803	860.0905885
804	859.39695
805	858.6545828
806	858.1730947
807	857.6358823
808	856.4573854
809	855.7097831
810	854.8317826
811	854.0923633
812	853.4304495
813	852.3073809
814	851.5622593
815	850.8564443
816	849.9591728
817	849.4266182
818	849.0031576
819	848.3331716
820	847.8679651
821	846.8865146
822	846.3929026
823	845.5298782
824	844.8944872
825	843.951534
826	843.5614674
827	842.6777726
828	842.0878085
829	841.5386298
830	840.9798899
831	840.3217935
832	839.3837485
833	838.4751665
834	838.0252685
835	837.6585811
836	837.1489094
837	836.3329545
838	835.6767751
839	835.2057402
840	834.4924852
841	833.8344593
842	833.6325593
843	832.9976151
844	832.3468149
845	831.5468376
846	830.8242063
847	829.8682081
848	829.847161
849	829.8267941
850	829.6306319
851	828.8185302
852	828.0178649
853	827.5812338
854	826.8772341
855	826.1134813
856	825.7051016
857	824.8056267
858	824.1221604
859	823.5035062
860	822.932826
861	822.0744287
862	821.2930903
863	820.4096842
864	819.7484606
865	819.234643
866	818.3607635
867	817.8143327
868	817.043647
869	816.4799228
870	815.9733054
871	815.6287103
872	815.6137775
873	815.0854868
874	814.45251
875	813.7396784
876	812.9394938
877	812.521317
878	811.9745018
879	811.9600667
880	811.855354
881	810.8568155
882	810.0719712
883	809.5106418
884	809.1096456
885	808.3990126
886	808.1306687
887	807.7992923
888	807.3117411
889	806.9779846
890	806.450846
891	806.1929283
892	805.5755762
893	804.9426594
894	804.4267489
895	803.4755814
896	802.8770501
897	802.4036957
898	802.1684755
899	802.0282472
900	801.0211907
901	800.8915446
902	800.4321807
903	799.8621178
904	799.2718967
905	798.7867901
906	798.0342582
907	797.2338234
908	796.6518874
909	796.3674456
910	795.7541796
911	795.1440557
912	794.4955908
913	794.143159
914	793.7615878
915	793.1261226
916	792.1588065
917	791.8244865
918	790.968883
919	790.2915096
920	789.8183679
921	789.3321507
922	788.7367951
923	788.3581299
924	787.7366722
925	787.2759033
926	786.6648298
927	786.1030409
928	785.5871623
929	785.2834484
930	784.5800278
931	783.7609968
932	783.1523309
933	782.6447198
934	782.2592914
935	781.8378724
936	781.0948303
937	780.9278858
938	780.76562
939	780.3984473
940	779.7345213
941	779.0929779
942	778.5045179
943	778.0203132
944	777.5605163
945	777.2256463
946	776.4390562
947	775.7959033
948	774.750554
949	774.4193423
950	773.8913111
951	773.3047396
952	772.5750601
953	772.0059674
954	771.4181963
955	770.8530462
956	770.3880469
957	769.7527178
958	769.3030876
959	768.5785955
960	767.6296744
961	767.011025
962	766.2817561
963	765.681286
964	765.3231494
965	764.9347724
966	764.2425627
967	763.5555247
968	763.0626518
969	762.4354189
970	761.727666
971	761.3271478
972	760.7663131
973	760.1424454
974	759.7376662
975	759.2886677
976	758.7917996
977	758.6948376
978	758.4440628
979	758.3437819
980	757.9720137
981	757.7307656
982	756.8086253
983	756.5812388
984	756.3541209
985	755.7330109
986	755.3618283
987	754.6917771
988	754.1968341
989	753.8493675
990	753.5118185
991	752.7983773
992	752.2975006
993	752.0618824
994	751.6531664
995	751.2840215
996	750.5011401
997	750.074709
998	749.5828769
999	749.0871218
